"count"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"1"	"Krush"	"69892133-617c-4c02-a829-688d62e285b7"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"Krush"	"69892133-617c-4c02-a829-688d62e285b7"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"The Comeback EP"	"7d0aae86-cfc2-429c-b716-6839dfb4940c"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"
"1"	"Metal Heavy Lady"	""	"Lions"	"b3a7c5f5-1b2b-487e-a2f3-0555987d7f44"	"Metal Heavy Lady"	""	"Lions"	"b3a7c5f5-1b2b-487e-a2f3-0555987d7f44"	"Volume One"	"32a28d73-214d-41f3-ae36-8faeca14e048"	"Lions"	"b3a7c5f5-1b2b-487e-a2f3-0555987d7f44"
"1"	"Pretend"	"64bb7bca-da93-4b48-92e0-0046bee878c5"	"Number One Gun"	"88318e6f-dc84-4642-90f3-41112e600749"	"Pretend"	"64bb7bca-da93-4b48-92e0-0046bee878c5"	"Number One Gun"	"88318e6f-dc84-4642-90f3-41112e600749"	"Promises For The Imperfect"	"ec244f84-650c-49d3-997e-f2b738d3437f"	"Number One Gun"	"88318e6f-dc84-4642-90f3-41112e600749"
"1"	"Yes, Even Stars Break"	"8350548d-4a99-4bd8-ab22-883343799653"	"The Scene Aesthetic"	"9b0f668d-971e-47ef-b93e-abd8bf54d7f2"	"Yes, Even Stars Break"	"8350548d-4a99-4bd8-ab22-883343799653"	"The Scene Aesthetic"	"9b0f668d-971e-47ef-b93e-abd8bf54d7f2"	"Building Homes From What We've Known"	"f1086771-7391-474a-93fb-bf95b8dc9c88"	"The Scene Aesthetic"	"9b0f668d-971e-47ef-b93e-abd8bf54d7f2"
"1"	"Boulevard of Broken Dreams"	"59d18d6f-0d65-442e-a46e-ac6be385e420"	"Green Day"	"084308bd-1654-436f-ba03-df6697104e19"	"Boulevard of Broken Dreams"	"59d18d6f-0d65-442e-a46e-ac6be385e420"	"Green Day"	"084308bd-1654-436f-ba03-df6697104e19"	"American Idiot"	"feb25a2b-0c97-4b45-9461-0fac8c00f477"	"Green Day"	"084308bd-1654-436f-ba03-df6697104e19"
"1"	"I'm On A Boat"	""	"The Lonely Island"	"028e1863-cab4-4a3d-9dd9-91c682c91005"	"I'm on a Boat (feat. T-Pain)"	""	"The Lonely Island"	"028e1863-cab4-4a3d-9dd9-91c682c91005"	"Incredibad"	"e74d81e5-7e35-4566-9722-aeb9a796beae"	"The Lonely Island"	"028e1863-cab4-4a3d-9dd9-91c682c91005"
"1"	"Punkbitch"	""	"3OH!3"	"125948ec-7f91-4d1a-8b83-accbf50fae3d"	"Punkbitch"	""	"3OH!3"	"125948ec-7f91-4d1a-8b83-accbf50fae3d"	"Want"	"371be939-9b28-4682-9e1e-eeed75ed24f0"	"3OH!3"	"125948ec-7f91-4d1a-8b83-accbf50fae3d"
"1"	"Cherub Rock"	"0b7db768-09b9-4a5e-a01d-013fbc31b34e"	"The Smashing Pumpkins"	"2b42ec56-6785-4ed8-b3cb-190f750111bb"	"Cherub Rock"	"0b7db768-09b9-4a5e-a01d-013fbc31b34e"	"The Smashing Pumpkins"	"2b42ec56-6785-4ed8-b3cb-190f750111bb"	"Siamese Dream"	"169149c3-85b6-41a6-bca6-ce848f8ef94c"	"The Smashing Pumpkins"	"2b42ec56-6785-4ed8-b3cb-190f750111bb"
"1"	"Thank You"	"00a3382b-186d-482d-82aa-7196c8ce4478"	"Dido"	"518531b7-cb73-4307-b13e-c716471539a8"	"Thank You"	"00a3382b-186d-482d-82aa-7196c8ce4478"	"Dido"	"518531b7-cb73-4307-b13e-c716471539a8"	"No Angel"	"644d1597-cb6e-451c-aae4-9da23d8b423f"	"Dido"	"518531b7-cb73-4307-b13e-c716471539a8"
"1"	"Everytime We Touch (Speedy)"	""	"Cascada"	"04af2581-6692-4f14-a7fe-151a36f20368"	"Everytime We Touch (Speedy)"	""	"Cascada"	"04af2581-6692-4f14-a7fe-151a36f20368"	"Everytime We Touch"	"e31b6c99-7b7b-4dd6-ad40-999015932a52"	"Cascada"	"04af2581-6692-4f14-a7fe-151a36f20368"
"1"	"Counting Stars on the Ceiling"	"d55393f4-b59e-4f5d-b23f-afb1e43f09ea"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"Counting Stars on the Ceiling"	"d55393f4-b59e-4f5d-b23f-afb1e43f09ea"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"Nightsongs"	"58c26acd-a1b3-482d-a96a-347d69b221c4"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"
"1"	"Where Are You Going"	"a1268017-c290-4e0a-a5f4-74675c0233f1"	"Dave Matthews Band"	"07e748f1-075e-428d-85dc-ce3be434e906"	"Where Are You Going"	"a1268017-c290-4e0a-a5f4-74675c0233f1"	"Dave Matthews Band"	"07e748f1-075e-428d-85dc-ce3be434e906"	"Busted Stuff"	"2479abd6-ae60-4776-b281-3d543d4718ae"	"Dave Matthews Band"	"07e748f1-075e-428d-85dc-ce3be434e906"
"1"	"The Cargo Bay"	"0970a724-2613-4be9-b9f7-f3dc75d38235"	"Port Blue"	"60ffc791-575f-4fd6-be34-775ebdb29080"	"The Cargo Bay"	"0970a724-2613-4be9-b9f7-f3dc75d38235"	"Port Blue"	"60ffc791-575f-4fd6-be34-775ebdb29080"	"The Airship"	"edb2cf70-962d-40d0-9635-e6da1194bdf6"	"Port Blue"	"60ffc791-575f-4fd6-be34-775ebdb29080"
"1"	"Lazy Eye"	"69b54dcc-2ea6-447c-bbec-5aee76b35c65"	"Silversun Pickups"	"b5bd9f88-962e-4730-84a7-795592ba42e8"	"Lazy Eye"	"69b54dcc-2ea6-447c-bbec-5aee76b35c65"	"Silversun Pickups"	"b5bd9f88-962e-4730-84a7-795592ba42e8"	"Carnavas"	"44222668-b973-3861-9900-34dda7f11412"	"Silversun Pickups"	"b5bd9f88-962e-4730-84a7-795592ba42e8"
"1"	"Jizz in My Pants"	"6d7f5929-ae69-4831-8b7c-72df9ec85cb0"	"The Lonely Island"	"028e1863-cab4-4a3d-9dd9-91c682c91005"	"Jizz in My Pants"	"6d7f5929-ae69-4831-8b7c-72df9ec85cb0"	"The Lonely Island"	"028e1863-cab4-4a3d-9dd9-91c682c91005"	"Incredibad"	"e74d81e5-7e35-4566-9722-aeb9a796beae"	"The Lonely Island"	"028e1863-cab4-4a3d-9dd9-91c682c91005"
"1"	"Shh"	"542c047a-fa87-4252-803d-4e1a84a6371a"	"Frou Frou"	"d614b0ad-fe3a-4927-b413-48cb831a814b"	"Shh"	"542c047a-fa87-4252-803d-4e1a84a6371a"	"Frou Frou"	"d614b0ad-fe3a-4927-b413-48cb831a814b"	"Details"	"1b3ce475-1250-4700-abd2-fd889dd6db8a"	"Frou Frou"	"d614b0ad-fe3a-4927-b413-48cb831a814b"
"1"	"Love Train"	"5a2540df-cb17-4f3e-9b38-3d80415d05c5"	"Wolfmother"	"f0c8f75f-8736-4b1d-b312-9349fcff321d"	"Love Train"	"5a2540df-cb17-4f3e-9b38-3d80415d05c5"	"Wolfmother"	"f0c8f75f-8736-4b1d-b312-9349fcff321d"	"Love Train"	"15e0c989-68ef-4ebd-8e78-5451d719ec13"	"Wolfmother"	"f0c8f75f-8736-4b1d-b312-9349fcff321d"
"1"	"Debaser"	"5f10ee90-b0ce-4ad8-be31-d103fbbbff9c"	"Pixies"	"b6b2bb8d-54a9-491f-9607-7b546023b433"	"Debaser"	"5f10ee90-b0ce-4ad8-be31-d103fbbbff9c"	"Pixies"	"b6b2bb8d-54a9-491f-9607-7b546023b433"	"Doolittle"	"bdd0e35c-ce68-3f5b-b957-f83ab5846111"	"Pixies"	"b6b2bb8d-54a9-491f-9607-7b546023b433"
"1"	"Write What You Know"	"893e7a90-0e48-499c-b9e5-a62bad0cf01b"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"Write What You Know"	"893e7a90-0e48-499c-b9e5-a62bad0cf01b"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"Nightsongs"	"58c26acd-a1b3-482d-a96a-347d69b221c4"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"
"1"	"Mama"	"53afdcd8-640e-46a3-b77a-caee07ffa859"	"My Chemical Romance"	"c07f0676-9143-4217-8a9f-4c26bd636f13"	"Mama"	"53afdcd8-640e-46a3-b77a-caee07ffa859"	"My Chemical Romance"	"c07f0676-9143-4217-8a9f-4c26bd636f13"	"The Black Parade"	"27595ef8-7cff-472e-b678-7959ffce9708"	"My Chemical Romance"	"c07f0676-9143-4217-8a9f-4c26bd636f13"
